,stop_id,code_departement,code_postal,stop_lat,stop_lon
116,2217,75,75113,48.8312479519874,2.343122075822986
120,2229,75,75113,48.83496497071995,2.3680913458793973
121,2233,75,75105,48.84576175731147,2.354548594906739
122,2235,75,75110,48.884388698358165,2.3592765642767297
123,2236,93,93027,48.92051450668569,2.410225779120198
125,2261,75,75116,48.84290697853592,2.260144397880896
126,2268,92,92024,48.90400543242958,2.3053681208668606
127,2270,93,93070,48.91162168038383,2.333736964842092
128,2272,75,75113,48.82287877506322,2.358079894290851
129,2275,92,92020,48.8224426939998,2.2979321053287274
130,2276,92,92020,48.81470406056698,2.2972847301706394
131,22791,94,94054,48.72956499135999,2.359564239369551
132,22794,94,94054,48.7289245757609,2.369359943921722
134,2295,75,75116,48.852438519222666,2.2679339230009505
137,2320,92,92002,48.739677540827685,2.2875987643958364
139,2329,92,92044,48.889269622246026,2.288055124803904
140,2333,75,75105,48.84677855902824,2.3404411811761725
143,2350,75,75105,48.84971694016357,2.348925558491872
144,2351,75,75111,48.865705787623,2.3844293751632057
145,2354,75,75116,48.84793394613904,2.2648350771736747
147,2375,75,75102,48.86628035856129,2.352484796837845
151,2393,75,75120,48.86822334760734,2.401324380544102
153,2400,94,94041,48.81591718160038,2.377878816483871
154,2402,75,75118,48.88202708962622,2.337213801747862
157,2412,75,75113,48.82135736230755,2.369308237223248
158,2419,75,75117,48.89443606029796,2.313565665465226
159,2423,75,75120,48.85337987781381,2.4104581874163533
160,2424,75,75119,48.888583980971895,2.392422875718541
161,2431,75,75120,48.87723471669558,2.406526843048092
162,2442,75,75106,48.84701184016864,2.327055111355132
164,2471,75,75111,48.86408940574645,2.3808997885521195
169,2490,94,94071,48.77105153303763,2.507511268345535
170,2498,75,75101,48.86478016250008,2.3290949544294275
172,2506,94,94076,48.79599413239317,2.3682314519156806
173,2512,75,75115,48.84141844267774,2.307993649386661
174,2517,75,75116,48.8630891350352,2.2868403784945937
175,2519,94,94076,48.80376966328267,2.3639093063890435
177,2525,75,75114,48.83915698149679,2.330474151162931
178,2530,75,75105,48.83988516597736,2.336873440890153
180,2533,75,75106,48.85231488119486,2.338861720336335
181,2546,75,75110,48.87845656683119,2.3620537162488997
183,3343752,75,75115,48.84282456767407,2.292224966220516
184,3343754,75,75115,48.84461367199405,2.293802980169146
185,3343765,75,75108,48.86950712762907,2.324680199591515
186,3343772,75,75109,48.87157474359305,2.3428950319846598
187,3343775,75,75102,48.869380780106006,2.3540796521963494
190,3343789,75,75111,48.85006766800271,2.384428770741632
191,3343796,75,75112,48.83968214020875,2.3955841703466554
192,3343804,94,94018,48.82563711172796,2.4074108054261223
193,3343807,94,94046,48.81507632012976,2.4216317667306635
194,3343811,94,94046,48.80250044183061,2.446183618559453
195,3343817,94,94028,48.779757257844594,2.4593142910788286
197,1166829,75,75112,48.83352086080552,2.3862652367404573
202,1631,94,94080,48.84732387116057,2.433531596877892
203,1638,75,75107,48.85639306919846,2.3147543648102884
204,1640,75,75114,48.83299169177581,2.3366828966443496
206,1652,93,93051,48.840882627372274,2.549350971449035
207,1662795,92,92004,48.92291633150906,2.285963896576634
208,1664,93,93071,48.93626224902096,2.534722783456677
210,1682,75,75120,48.87552244924565,2.3986765111449517
211,1684,75,75117,48.87822804050767,2.2981214325821844
212,1689,94,94033,48.85404324848314,2.488553014023377
213,1698,75,75112,48.8473528769588,2.3858425400402448
214,1703,75,75119,48.8883932319013,2.374433108884994
215,1709,75,75111,48.8522227131835,2.389115650927187
216,1710,75,75107,48.85589133781551,2.325704993899314
218,1735,75,75114,48.82281706023495,2.325072625148001
219,1740,75,75113,48.81990244616168,2.364965598290819
222,1748,75,75118,48.89751173277147,2.329021647212208
223,1758,75,75120,48.87382117233675,2.384886372197903
226,1786,75,75117,48.8850310612536,2.2971351115061647
229,1808,75,75113,48.8187170251155,2.360500832805366
232,1816,75,75116,48.845056129032,2.261911423279769
234,1824,75,75114,48.8441895085268,2.324441232433701
236,1838,94,94052,48.83510877417377,2.4716839161590887
237,1842,75,75106,48.84478304833005,2.3284444832927207
240,1861,75,75110,48.8814934288588,2.3657752423496143
