latitude,longitude,result_latitude,result_longitude,result_label,result_distance,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
48.7786696974,2.39635790304,48.778685,2.396519,50 Avenue Rouget de Lisle 94400 Vitry-sur-Seine,11,housenumber,94081_8180_00050,50,Avenue Rouget de Lisle,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.7729881436,2.39935961861,48.772546,2.399596,91 Boulevard de Stalingrad 94320 Thiais,52,housenumber,94073_8577_00091,91,Boulevard de Stalingrad,,94320,Thiais,"94, Val-de-Marne, Île-de-France",94073,,,
48.7684423589,2.40286032219,48.768475,2.402896,16 Boulevard de Stalingrad 94600 Choisy-le-Roi,4,housenumber,94022_8570_00016,16,Boulevard de Stalingrad,,94600,Choisy-le-Roi,"94, Val-de-Marne, Île-de-France",94022,,,
48.7545454439,2.41190023095,48.754517,2.41163,32 Avenue de Newburn 94600 Choisy-le-Roi,20,housenumber,94022_6180_00032,32,Avenue de Newburn,,94600,Choisy-le-Roi,"94, Val-de-Marne, Île-de-France",94022,,,
48.819453687,2.36519093258,48.819383,2.365002,31 Avenue de la Porte de Choisy 75013 Paris,15,housenumber,75113_7657_00031,31,Avenue de la Porte de Choisy,,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement
48.7830053855,2.39383827034,48.782936,2.393656,165ter Avenue Rouget de Lisle 94400 Vitry-sur-Seine,15,housenumber,94081_8180_00165_ter,165ter,Avenue Rouget de Lisle,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.7639148711,2.40580894404,48.76397,2.405997,3 Avenue Léon Gourdault 94600 Choisy-le-Roi,15,housenumber,94022_5155_00003,3,Avenue Léon Gourdault,,94600,Choisy-le-Roi,"94, Val-de-Marne, Île-de-France",94022,,,
48.8072143329,2.37491159799,48.807177,2.374645,92bis Avenue de Verdun 94200 Ivry-sur-Seine,19,housenumber,94041_9600_00092_bis,92bis,Avenue de Verdun,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,
48.7521059537,2.41694875561,48.75226,2.416989,20 Rue Christophe Colomb 94310 Orly,17,housenumber,94054_1447_00020,20,Rue Christophe Colomb,,94310,Orly,"94, Val-de-Marne, Île-de-France",94054,,,
48.7469424026,2.41632089477,48.746792,2.416487,Gare des Saules 94310 Orly,20,locality,94054_4114,,Gare des Saules,,94310,Orly,"94, Val-de-Marne, Île-de-France",94054,,,
48.7904285945,2.38823514034,48.79028,2.388058,22 Avenue Maximilien de Robespierre 94400 Vitry-sur-Seine,20,housenumber,94081_6180_00022,22,Avenue Maximilien de Robespierre,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.8126293761,2.37066124896,48.812487,2.370563,38 Avenue de Verdun 94200 Ivry-sur-Seine,17,housenumber,94041_9600_00038,38,Avenue de Verdun,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,
48.8032064569,2.37790029205,48.803155,2.377488,153 Boulevard de Stalingrad 94400 Vitry-sur-Seine,30,housenumber,94081_8580_00153,153,Boulevard de Stalingrad,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.7856721351,2.3919914555,48.785694,2.392155,52 Avenue Youri Gagarine 94400 Vitry-sur-Seine,12,housenumber,94081_9965_00052,52,Avenue Youri Gagarine,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.7592000295,2.40887560616,48.759277,2.408631,50 Avenue de la République 94600 Choisy-le-Roi,19,housenumber,94022_8140_00050,50,Avenue de la République,,94600,Choisy-le-Roi,"94, Val-de-Marne, Île-de-France",94022,,,
48.7449956383,2.40831829477,48.744993,2.408348,1 Place Gaston Viens 94310 Orly,2,housenumber,94054_4116_00001,1,Place Gaston Viens,,94310,Orly,"94, Val-de-Marne, Île-de-France",94054,,,
48.8155689555,2.3683396347,48.81552,2.368117,26 Avenue de Verdun 94200 Ivry-sur-Seine,17,housenumber,94041_9600_00026,26,Avenue de Verdun,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,
